hit,miss,incorrect,rew_location,area_rewarded,time_to_reward,trial_start_time,end_trial_time,mouse_enter_time,first_reward_area_visited,entrance1,entrance2,rewA,rewB,rewC,rewD,rew_location.1,state_sequence,video_segment_path,matched_trial_id,avg_speed_px_per_frame,max_speed_px_per_frame,min_speed_px_per_frame
,,,,,,,,,,,,,,,,,"3,1,3,1,3",C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_077.mp4,trial_077,2.655800081735886,10.547223677320929,0.0
,,,,,,,,,,,,,,,,,3,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_078.mp4,trial_078,0.7827509840395517,10.307389965903123,0.0
,,,,,,,,,,,,,,,,,3,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_079.mp4,trial_079,1.0669039270617224,9.561683335004346,0.0
,,,,,,,,,,,,,,,,,,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_080.mp4,trial_080,1.2407769292746327,12.353839587326227,0.0
,,,,,,,,,,,,,,,,,3,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_081.mp4,trial_081,1.7758446874239335,8.601079999999968,0.0
,,,,,,,,,,,,,,,,,3,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_082.mp4,trial_082,0.8866765115099781,11.453956106079682,0.0
,,,,,,,,,,,,,,,,,"3,1",C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_083.mp4,trial_083,0.3302411857334161,16.668525830498638,0.0
,,,,,,,,,,,,,,,,,3,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_084.mp4,trial_084,0.8429018188801857,13.054228357911489,0.0
,,,,,,,,,,,,,,,,,3,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_085.mp4,trial_085,1.0705686955020497,5.913753764848337,0.0
,,,,,,,,,,,,,,,,,1,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_086.mp4,trial_086,0.1630285676166407,6.181806578792312,0.0
