hit,miss,incorrect,rew_location,area_rewarded,time_to_reward,trial_start_time,end_trial_time,mouse_enter_time,first_reward_area_visited,entrance1,entrance2,rewA,rewB,rewC,rewD,rew_location.1,state_sequence,video_segment_path,matched_trial_id,avg_speed_px_per_frame,max_speed_px_per_frame,min_speed_px_per_frame
,,1.0,D,,,1144565.0,1192218.0,1159433.0,rewC,1055.0,2942.0,3689.0,,2086.0,8718.0,D,1,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_017.mp4,trial_017,1.2293661686444368,13.635010777223991,0.0
,1.0,,A,,,1192232.0,1235649.0,1234333.0,,646.0,604.0,,,,,A,1,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_018.mp4,trial_018,4.822642510221125,22.951075000000003,0.0
1.0,,,C,C,97746.0,1235657.0,1441815.0,1331197.0,rewC,1181.0,875.0,,4416.0,23610.0,4726.0,C,"2,4, 4, 4, 1",C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_019.mp4,trial_019,0.5927462118113537,23.0578533333333,0.0
,1.0,,D,,,1441831.0,1478148.0,1476890.0,,291.0,367.0,,,,,D,1,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_020.mp4,trial_020,3.5685816520078806,20.467917675919065,0.0
,1.0,,D,,,1478164.0,1478948.0,,,438.0,400.0,,,,,D,,,,,,
,,1.0,D,,,1478964.0,1526548.0,1519356.0,rewC,439.0,250.0,,,2038.0,,D,1,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_021.mp4,trial_021,2.0759774280261203,15.2208587714988,0.0
,1.0,,D,,,1526564.0,1548831.0,1546140.0,,605.0,225.0,,,,,D,1,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_022.mp4,trial_022,2.7574142693000203,11.099946489077498,0.0
,1.0,,B,,,1548846.0,1579271.0,1577037.0,,2731.0,3153.0,,,,,B,,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_023.mp4,trial_023,0.6051707006300311,5.841596166403867,0.0
1.0,,,A,A,35221.0,1579282.0,1723424.0,1612938.0,rewA,2051.0,680.0,15183.0,7873.0,870.0,4400.0,A,"2, 4, 1, 4, 1",C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_024.mp4,trial_024,0.7238487269902941,14.858462794273185,0.0
,,1.0,C,,,1723439.0,1766462.0,1738134.0,rewB,1280.0,975.0,,438.0,6038.0,,C,"1, 4, 1",C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_025.mp4,trial_025,1.1680677397617556,14.613967483766226,0.0
,,1.0,D,,,1766477.0,1878525.0,1784189.0,rewC,846.0,1845.0,3119.0,,19236.0,24034.0,D,1,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_026.mp4,trial_026,0.6748536369826271,26.557450764448387,0.0
,1.0,,C,,,1878540.0,1889726.0,,,6641.0,3459.0,,,,,C,,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_027.mp4,trial_027,0.1140884846240813,0.8939902434591136,0.0
,1.0,,C,,,1889740.0,1942352.0,1940204.0,,438.0,318.0,,,,,C,1,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_028.mp4,trial_028,3.301685897466019,15.704479616550964,0.0
,,1.0,A,,,1942363.0,2061763.0,2035481.0,rewC,655.0,722.0,4865.0,8866.0,1746.0,,A,1,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_029.mp4,trial_029,1.3691640534530112,14.141654739433715,0.0
