frame,x,y,likelihood,time_seconds,speed_px_per_frame
22383,355.18527,387.62598,1.0,0.0,0.0
22384,356.00433,388.21777,1.0,0.03333333333333333,1.0104824034588142
22385,356.1376,389.09564,1.0,0.06666666666666667,0.8879282796487916
22386,356.1376,391.131,0.9630829,0.1,2.0353599999999687
22387,356.1376,391.15137,0.9631023,0.13333333333333333,0.020370000000013988
22388,355.79648,394.0869,0.9028401,0.16666666666666666,2.9552832749670883
22389,354.41937,395.19034,0.94456553,0.2,1.7646562797609733
22390,353.52087,395.2889,0.9016784,0.23333333333333334,0.9038895527662807
22391,351.96475,395.7443,0.87441725,0.26666666666666666,1.6213878667364154
22392,349.99716,396.57236,0.9165725,0.3,2.1347350589007252
22393,349.36267,396.57236,0.9012921,0.3333333333333333,0.634490000000028
22394,349.3568,396.60855,0.88606733,0.36666666666666664,0.036662964964631686
22395,349.0757,396.57236,0.90101063,0.4,0.2834200523957673
22396,349.04193,396.4981,0.91047406,0.43333333333333335,0.08157794125863603
22397,349.04193,396.4981,0.9074485,0.4666666666666667,0.0
22398,348.85547,396.5488,0.90188605,0.5,0.19322997076018905
22399,349.04193,396.5488,0.9038697,0.5333333333333333,0.1864599999999541
22400,349.16257,396.8835,0.90652853,0.5666666666666667,0.3557781606563388
22401,349.494156,404.05777,0.7724948,0.6,7.181928662155847
22402,350.152432,411.23204,0.42891604,0.6333333333333333,7.204406798972119
22403,350.810708,418.40631,0.7149503,0.6666666666666666,7.204406798972175
22404,351.468984,425.58058,0.7584374,0.7,7.204406798972119
22405,352.12726,432.75485,0.8523648,0.7333333333333333,7.204406798972119
22406,352.12726,432.75485,0.8535122,0.7666666666666667,0.0
22407,352.12726,432.75485,0.8137319,0.8,0.0
