frame,x,y,likelihood,time_seconds,speed_px_per_frame
76956,348.4866,369.918,0.7110056,0.0,0.0
76957,348.4866,369.918,0.7415382,0.03333333333333333,0.0
76958,348.4866,369.918,0.73633325,0.06666666666666667,0.0
76959,348.4866,369.918,0.7162833,0.1,0.0
76960,348.4866,369.918,0.8128276,0.13333333333333333,0.0
76961,348.5567,369.918,0.8354577,0.16666666666666666,0.07009999999996808
76962,348.60303,369.78525,0.82436806,0.2,0.14060238760418584
76963,348.79156,369.78525,0.8069629,0.23333333333333334,0.1885300000000143
76964,348.79156,369.46674,0.8098757,0.26666666666666666,0.3185100000000034
76965,348.79156,369.46674,0.81956947,0.3,0.0
76966,348.99506,370.2779,0.80241066,0.3333333333333333,0.8362970737722113
76967,348.99506,370.2779,0.8215791,0.36666666666666664,0.0
76968,348.99506,370.40646,0.8079756,0.4,0.12855999999999312
76969,348.99506,370.46967,0.80560666,0.43333333333333335,0.06321000000002641
76970,348.99506,370.46967,0.8140502,0.4666666666666667,0.0
76971,349.56973,371.08435,0.8504922,0.5,0.8414731791922548
76972,349.69095,371.31482,0.8487297,0.5333333333333333,0.2604048949232909
76973,350.23834,371.5339,0.8829586,0.5666666666666667,0.5896031364401112
76974,350.23834,371.61877,0.8866183,0.6,0.0848699999999667
76975,350.23834,371.61932,0.8881609,0.6333333333333333,0.000550000000032469
76976,350.21298,371.61932,0.8672151,0.6666666666666666,0.025359999999977845
76977,349.86432,371.61932,0.8561186,0.7,0.3486599999999953
76978,349.7468866666667,371.48087,0.85140246,0.7333333333333333,0.18154611061046827
76979,349.6371,371.27436666666665,0.7949277,0.7666666666666667,0.23387333934325064
76980,349.7468866666667,371.27436666666665,0.78720236,0.8,0.10978666666670733
76981,349.62945333333334,371.26215,0.830568,0.8333333333333334,0.11806707721554917
76982,349.62677,371.26215,0.885112,0.8666666666666667,0.0026833333333229348
76983,349.62677,371.5644,0.8375727,0.9,0.30224999999995816
76984,349.62677,371.5644,0.8578247,0.9333333333333333,0.0
76985,349.33508,371.43832,0.86123437,0.9666666666666667,0.31777228088681725
76986,349.31717,371.43832,0.8456601,1.0,0.01791000000002896
76987,349.1624,371.11328,0.827706,1.0333333333333334,0.36000660341165436
76988,349.1624,371.109,0.8317095,1.0666666666666667,0.004279999999994288
76989,349.1624,370.93643,0.83584976,1.1,0.17257000000000744
76990,349.38486,371.109,0.8552423,1.1333333333333333,0.28154725447073364
76991,349.41818,371.11328,0.86820257,1.1666666666666667,0.033593761325582075
76992,349.41818,371.20715,0.8666802,1.2,0.09387000000003809
76993,349.4572,371.20715,0.8606932,1.2333333333333334,0.039019999999993615
76994,349.43304,371.20715,0.8670896,1.2666666666666666,0.024159999999994852
76995,349.43304,370.77466,0.8718824,1.3,0.4324900000000298
76996,349.4572,370.67923,0.8696723,1.3333333333333333,0.09844079692888023
76997,350.5534,369.23367,0.8433411,1.3666666666666667,1.8141935270527298
76998,351.16708,368.83853,0.8642655,1.4,0.7298895546587895
76999,351.16708,368.76376,0.84187543,1.4333333333333333,0.07477000000000089
77000,351.16708,368.7336,0.8530933,1.4666666666666666,0.030159999999966658
77001,351.0031,368.08215,0.806191,1.5,0.6717711983257457
77002,350.88202,367.7876,0.82241803,1.5333333333333334,0.31846517690323767
77003,349.7969,366.71207,0.85573673,1.5666666666666667,1.5278253157020503
77004,349.09464,361.38992,0.85940367,1.6,5.3682818229019595
77005,349.09464,357.20364,0.84050184,1.6333333333333333,4.186280000000011
77006,349.09464,357.17267,0.84222066,1.6666666666666667,0.03097000000002481
77007,349.9963,355.08194,0.839568,1.7,2.276871249873391
77008,351.077465,351.55319,0.7864412,1.7333333333333334,3.6906631273695267
77009,351.97986,348.02444,0.81565195,1.7666666666666666,3.6423060413046753
77010,351.97986,345.547345,0.7800482,1.8,2.47709500000002
77011,351.97986,343.07025,0.8105727,1.8333333333333333,2.47709500000002
77012,351.57825,342.2045,0.8611142,1.8666666666666667,0.9543655770195945
77013,351.2901,341.72372,0.9043717,1.9,0.5605174670784129
77014,350.52023,339.52246,0.94667304,1.9333333333333333,2.3320045892964942
77015,350.5201,338.16583,0.91572344,1.9666666666666666,1.3566300062286651
77016,350.5201,334.00546,0.8268764,2.0,4.16037
77017,350.52023,334.0043,0.82686687,2.033333333333333,0.001167261753021276
77018,351.19696,331.815,0.8763366,2.066666666666667,2.2915056148523756
77019,351.256655,328.27582,0.88538593,2.1,3.539683399037959
77020,351.256655,326.11682,0.9148415,2.1333333333333333,2.158999999999992
77021,351.40167,324.43621,0.77724457,2.1666666666666665,1.6868548610728207
77022,351.6635,323.29288,0.8611358,2.2,1.1729272943366813
77023,351.6635,322.7556,0.901651,2.2333333333333334,0.5372800000000097
77024,352.2831,322.74258,0.868149,2.2666666666666666,0.619736783158778
77025,352.43594,321.98468,0.82346576,2.3,0.7731574714118279
77026,352.43594,318.67603,0.80248606,2.3333333333333335,3.30865
77027,352.43430666666666,316.076765,0.7449354,2.3666666666666667,2.599265513179212
77028,352.43430666666666,313.4775,0.66155374,2.4,2.5992650000000026
77029,352.36323500000003,310.878235,0.6203337,2.433333333333333,2.600236474251483
77030,352.29216333333335,308.27897,0.6325119,2.466666666666667,2.600236474251485
77031,352.22109166666667,305.679705,0.6662539,2.5,2.600236474251485
77032,352.15002,303.08044,0.8277211,2.533333333333333,2.600236474251485
77033,350.41415,300.32935,0.8351229,2.566666666666667,3.252958783169578
77034,348.3457,296.87584666666663,0.79172134,2.6,4.025564640624276
77035,346.27725,293.42234333333334,0.7564018,2.6333333333333333,4.025564640624257
