frame,x,y,likelihood,time_seconds,speed_px_per_frame
52138,353.24277,370.52155,0.5592655,0.0,0.0
52139,353.24277,370.52155,0.64813524,0.03333333333333333,0.0
52140,353.24277,370.52155,0.8266324,0.06666666666666667,0.0
52141,353.24277,363.22186,0.874237,0.1,7.299689999999998
52142,353.22134,359.36038,0.8350583,0.13333333333333333,3.861539464423455
52143,353.0872,353.12628,0.8461651,0.16666666666666666,6.235542987551296
52144,353.0872,351.9692,0.8141259,0.2,1.1570800000000077
52145,353.1773,351.94525,0.8090983,0.23333333333333334,0.0932288179695627
52146,353.1773,351.9253,0.82577306,0.26666666666666666,0.01994999999999436
52147,353.10257,351.94525,0.82459396,0.3,0.0773471098361019
52148,353.1773,351.9692,0.8147136,0.3333333333333333,0.07847404284219643
52149,353.1773,351.98712,0.8292198,0.36666666666666664,0.01792000000000371
52150,353.10257,351.98712,0.82377535,0.4,0.0747299999999882
52151,353.10257,351.98712,0.8245055,0.43333333333333335,0.0
52152,353.00583,351.9275,0.8693346,0.4666666666666667,0.11363613861796608
52153,352.29516666666666,340.82088,0.64518726,0.5,11.129332872986813
52154,351.5845033333333,329.71426,0.7982545,0.5333333333333333,11.129332872986756
52155,350.87384,318.60764,0.8401658,0.5666666666666667,11.129332872986813
52156,350.7543,314.55673,0.8224132,0.6,4.052673394155997
52157,350.7543,314.55606,0.8235169,0.6333333333333333,0.0006700000000137152
52158,350.7543,312.43066,0.8712076,0.6666666666666666,2.1254000000000133
52159,351.49879999999996,309.01416,0.78672516,0.7,3.496677351429473
52160,351.49879999999996,305.59766,0.8447082,0.7333333333333333,3.416499999999985
52161,351.49879999999996,304.81502666666665,0.7639699,0.7666666666666667,0.782633333333365
52162,350.9746733333333,304.03239333333335,0.79764515,0.8,0.941925526331822
52163,350.34036,303.24976,0.87783235,0.8333333333333334,1.007406739747637
52164,350.34036,303.24976,0.8832132,0.8666666666666667,0.0
52165,349.41513,303.24976,0.8938041,0.9,0.9252299999999991
52166,349.259,303.34467,0.89399594,0.9333333333333333,0.1827142167429597
52167,349.41513,303.34467,0.89697635,0.9666666666666667,0.1561299999999619
52168,349.72104,303.34467,0.89730364,1.0,0.3059100000000399
52169,349.72104,301.04166,0.91130406,1.0333333333333334,2.303010000000029
52170,349.72104,297.39149499999996,0.7130023,1.0666666666666667,3.6501650000000154
52171,350.013285,293.74133,0.84219515,1.1,3.6618453909538133
52172,350.593385,289.91837,0.9650635,1.1333333333333333,3.8667220189199267
52173,350.627,288.053785,0.7999279,1.1666666666666667,1.864887983351792
52174,350.627,286.1892,0.86306524,1.2,1.8645849999999768
52175,351.31763,285.81302,0.9174066,1.2333333333333334,0.7864357502682743
52176,352.7775,284.83054,0.96919274,1.2666666666666666,1.7596838827755177
52177,352.7775,283.2063,1.0,1.3,1.6242399999999861
52178,352.81064,283.0029,0.981129,1.3333333333333333,0.20608207005946744
52179,353.76193,282.9887,0.9774392,1.3666666666666667,0.9513959764998247
52180,354.11044,282.94153,0.97462803,1.4,0.3516876867335318
52181,354.87213,282.23447,0.985316,1.4333333333333333,1.03928124186867
52182,355.1141,281.58014,1.0,1.4666666666666666,0.697636889649631
52183,355.99527,280.80652,0.9673507,1.5,1.172581968691309
52184,356.6247,280.38553,0.9372207,1.5333333333333334,0.7572415103518717
52185,356.85355,280.18756,0.9579417,1.5666666666666667,0.3025961721502497
52186,356.93195,280.18756,0.9695319,1.6,0.07839999999998781
52187,356.93195,280.38553,0.9740926,1.6333333333333333,0.19796999999999798
52188,356.93195,280.60153,0.9738689,1.6666666666666667,0.21600000000000819
52189,356.93195,280.8043,0.9776001,1.7,0.2027699999999868
52190,356.93195,280.81918,0.9794792,1.7333333333333334,0.014880000000005111
52191,356.95963,280.84717,0.9760697,1.7666666666666666,0.03936524482333534
52192,357.04315,280.85666,0.97497547,1.8,0.08405742382444883
52193,357.04315,280.97354,0.9546572,1.8333333333333333,0.1168800000000374
52194,357.04315,283.73087,0.96726906,1.8666666666666667,2.7573299999999676
52195,355.67136,288.85217,0.90916044,1.9,5.301841330528506
52196,353.64056500000004,292.89691,0.7862621,1.9333333333333333,4.525930843442566
52197,351.60977,296.94165,0.85735714,1.9666666666666666,4.525930843442592
52198,350.88474,296.94165,0.86446124,2.0,0.7250300000000038
52199,350.6958,296.94165,0.84732443,2.033333333333333,0.18894000000000233
52200,350.5634,296.3286,0.8526919,2.066666666666667,0.6271842332999044
52201,350.54675,296.04428,0.86879724,2.1,0.2848071012106077
52202,350.2603,295.09573,0.9039804,2.1333333333333333,0.9908585696253643
52203,350.21323,295.0709,0.91119313,2.1666666666666665,0.05321760798830485
52204,349.93243,294.7449,0.9326603,2.2,0.4302611300129421
52205,349.76608,294.558,0.941165,2.2333333333333334,0.25020777865606036
52206,349.40546,294.26422,0.94889104,2.2666666666666666,0.4651381222819411
52207,349.40546,294.24243,0.9532133,2.3,0.021790000000009968
52208,349.40546,294.24243,0.9518557,2.3333333333333335,0.0
52209,349.5126,294.24243,0.9494013,2.3666666666666667,0.10714000000001533
52210,349.52457,294.31934,0.94453734,2.4,0.07783591073533347
52211,349.54172,294.3356,0.94163203,2.433333333333333,0.023632818283060117
52212,349.5626,294.3356,0.94839984,2.466666666666667,0.020879999999976917
52213,349.5734,294.36627,0.9495642,2.5,0.0325159791487131
52214,349.5734,294.36627,0.95050985,2.533333333333333,0.0
52215,349.5626,294.3356,0.945324,2.566666666666667,0.0325159791487131
52216,349.5335,294.30014,0.94638634,2.6,0.04587179525589076
52217,349.5335,294.3017,0.9554845,2.6333333333333333,0.0015599999999835745
52218,349.5335,294.3017,0.95586085,2.6666666666666665,0.0
52219,349.54263,294.3017,0.9502579,2.7,0.00912999999997055
52220,349.58282,294.33923,0.9502218,2.7333333333333334,0.05498851698313472
52221,349.6294,294.38403,0.94536287,2.7666666666666666,0.06462767518637878
52222,349.86383,294.45465,0.93763125,2.8,0.24483588237841608
52223,352.34393,296.5694,0.9166136,2.8333333333333335,3.259304154647091
52224,352.91153,297.8631,0.9433548,2.8666666666666667,1.412738280786655
52225,352.91153,298.6412,0.95069975,2.9,0.7781000000000518
52226,352.91153,299.42606,0.9508383,2.933333333333333,0.7848599999999806
52227,352.79706,300.2128,0.9502417,2.966666666666667,0.7950240301399846
52228,352.79706,300.2128,0.94597805,3.0,0.0
52229,352.79706,300.2434,0.95623773,3.033333333333333,0.030599999999992633
52230,352.9051,300.2434,0.9544824,3.066666666666667,0.10804000000001679
52231,352.92468,300.24686,0.9546606,3.1,0.019883359877064823
52232,352.94788,300.30887,0.9555483,3.1333333333333333,0.06620785527410736
52233,352.94788,300.9957,0.9643954,3.1666666666666665,0.6868299999999863
52234,352.94788,302.02774,0.9502276,3.2,1.032039999999995
52235,352.94788,303.18542,0.90740263,3.2333333333333334,1.1576800000000276
52236,352.94788,303.92383,0.8997279,3.2666666666666666,0.7384099999999876
52237,353.10828,304.05603,0.91420966,3.3,0.2078581246908504
52238,353.39206,304.19672,0.91921073,3.3333333333333335,0.3167408475394704
52239,353.39206,304.9739,0.93048686,3.3666666666666667,0.7771799999999871
52240,353.39206,305.60397,0.95193523,3.4,0.6300699999999892
52241,353.2268,306.90717,0.9639997,3.433333333333333,1.3136365964756032
52242,353.2268,307.3928,0.96975654,3.466666666666667,0.48563000000001466
52243,353.2268,307.49014,0.9672671,3.5,0.09733999999997422
52244,353.2701,307.49014,0.9673744,3.533333333333333,0.043299999999987904
52245,353.27368,307.3928,0.96503615,3.566666666666667,0.09740581091492939
52246,353.36395,307.3928,0.9657994,3.6,0.09026999999997543
52247,353.6309,307.4188,0.9712937,3.6333333333333333,0.2682131661570738
52248,353.6309,307.4188,0.9747803,3.6666666666666665,0.0
52249,353.6309,307.58478,0.97420406,3.7,0.1659800000000473
52250,353.52225,307.6584,0.96977514,3.7333333333333334,0.13124300705178507
52251,353.52225,307.69714,0.9692519,3.7666666666666666,0.038740000000018426
52252,353.49496,307.7795,0.97123706,3.8,0.08676355052669697
52253,353.48975,309.22833,0.9675949,3.8333333333333335,1.4488393675629214
52254,353.12857,311.18906,0.9123616,3.8666666666666667,1.993718416752932
52255,352.8557,313.97223,0.9278795,3.9,2.796514488752067
52256,352.62918,313.97223,0.91593635,3.933333333333333,0.22651999999999362
52257,352.40833,313.97223,0.9123462,3.966666666666667,0.2208500000000413
52258,352.40833,313.54077,0.9434499,4.0,0.4314600000000155
52259,352.40833,313.43735,0.9384488,4.033333333333333,0.10342000000002827
52260,353.41916,312.86343,0.89771,4.066666666666666,1.1623947071885619
52261,353.8373,312.5484,0.9251154,4.1,0.5235312411881732
52262,354.13486,311.25116,0.91580963,4.133333333333334,1.3309295891218116
52263,354.23093,311.21735,0.9201894,4.166666666666667,0.10184577065347702
52264,354.23093,310.17386,0.9400098,4.2,1.0434900000000198
52265,354.225,310.17386,0.9453779,4.233333333333333,0.005929999999978008
52266,354.23093,310.00583,0.9413002,4.266666666666667,0.1681346061939526
52267,354.43094,310.00583,0.9356171,4.3,0.20001000000002023
52268,354.3273,310.00595,0.9422302,4.333333333333333,0.10364006947126457
52269,354.3273,310.1848,0.9408139,4.366666666666666,0.17885000000001128
52270,354.3273,310.42407,0.9324837,4.4,0.23926999999997633
52271,354.06808,310.88028,0.9244382,4.433333333333334,0.5247118947575283
52272,354.0405,311.4181,0.90942687,4.466666666666667,0.5385267020305959
52273,354.01706,312.54144,0.9060389,4.5,1.1235845269493938
52274,353.77982,312.76688,0.90676695,4.533333333333333,0.3272705474069069
52275,353.77982,312.79974,0.8982747,4.566666666666666,0.032859999999971023
52276,353.77573,313.0911,0.9199712,4.6,0.29138870551206714
52277,353.77573,313.46957,0.914377,4.633333333333334,0.378469999999993
52278,353.77573,314.09186,0.942065,4.666666666666667,0.6222900000000209
52279,353.8926,314.09186,0.94067764,4.7,0.1168700000000058
