frame,x,y,likelihood,time_seconds,speed_px_per_frame
82771,348.10358,374.0574,0.4399632,0.0,0.0
82772,348.10358,374.0574,0.59800106,0.03333333333333333,0.0
82773,348.10358,374.0574,0.8426959,0.06666666666666667,0.0
82774,349.03357,365.184935,0.76359034,0.1,8.921071492613684
82775,349.96356,356.31247,0.89181376,0.13333333333333333,8.921071492613684
82776,352.29938,351.4841,0.84882826,0.16666666666666666,5.363693869834494
82777,352.50342,348.93634,0.86672336,0.2,2.555917318537556
82778,352.86118,344.80573,0.8704617,0.23333333333333334,4.146074190086317
82779,353.236508,336.849558,0.62856746,0.26666666666666666,7.965020025157985
82780,353.611836,328.893386,0.7002867,0.3,7.965020025157982
82781,353.987164,320.937214,0.68237555,0.3333333333333333,7.965020025158043
82782,354.362492,312.981042,0.78294796,0.36666666666666664,7.965020025157982
82783,354.73782,305.02487,0.8036999,0.4,7.965020025157985
82784,355.227636,302.858464,0.68042606,0.43333333333333335,2.2210886228811306
82785,355.717452,300.69205800000003,0.65115446,0.4666666666666667,2.221088622881118
82786,356.207268,298.525652,0.55299765,0.5,2.2210886228811857
82787,356.69708399999996,296.359246,0.55493003,0.5333333333333333,2.221088622881118
82788,357.1869,294.19284,0.84386,0.5666666666666667,2.2210886228811306
82789,357.74442,293.61096,0.83690506,0.6,0.8058615791809575
82790,357.93194666666665,292.9814633333333,0.675756,0.6333333333333333,0.6568350660977011
82791,358.11947333333336,292.35196666666667,0.68982136,0.6666666666666666,0.6568350660976628
82792,358.11947333333336,292.35196666666667,0.8472839,0.7,0.0
82793,358.11947333333336,292.35196666666667,0.9091709,0.7333333333333333,0.0
82794,352.37903,310.5535,0.8226661,0.7666666666666667,19.08529552686191
82795,352.22886,311.30346,0.9096336,0.8,0.7648470634708496
82796,352.07869,311.4147,0.77923083,0.8333333333333334,0.18688329647136181
82797,352.07869,312.05341999999996,0.7699165,0.8666666666666667,0.638719999999978
82798,351.98587,312.80338,0.77308136,0.9,0.7556821779028995
82799,351.92852,313.1207,0.8066203,0.9333333333333333,0.32246085793471935
82800,351.82727,313.1207,0.83496857,0.9666666666666667,0.10124999999999318
82801,351.77835,313.1207,0.8320231,1.0,0.04892000000000962
82802,351.82727,303.83995,0.6759088,1.0333333333333334,9.280878930839483
82803,351.82727,294.5592,0.85779977,1.0666666666666667,9.280750000000012
82804,352.80035,294.48436,0.6392206,1.1,0.9759537448055434
82805,357.7114,294.40952,0.83314896,1.1333333333333333,4.911620214155453
82806,359.07455,294.0427,0.81020236,1.1666666666666667,1.4116426016877883
82807,359.07455,294.0427,0.8106923,1.2,0.0
82808,359.07455,293.99835,0.80867696,1.2333333333333334,0.04435000000000855
82809,351.45105,293.99835,0.81925774,1.2666666666666666,7.623499999999979
82810,350.06607,293.83154,0.8534367,1.3,1.3949893105325062
82811,349.96295,293.83154,0.81133634,1.3333333333333333,0.10312000000004673
82812,349.96295,293.83154,0.84392005,1.3666666666666667,0.0
82813,350.04025,293.89594,0.8424701,1.4,0.10061138106597481
82814,349.96295,293.89594,0.8517065,1.4333333333333333,0.07730000000003656
82815,349.77487,293.89594,0.8470328,1.4666666666666666,0.18807999999995673
82816,349.64023,292.64825,0.91482985,1.5,1.2549335702338813
82817,348.8691,291.8852,0.9396294,1.5333333333333334,1.0848441267758182
82818,348.8691,291.88098,0.94116694,1.5666666666666667,0.0042199999999752436
82819,348.8691,291.2115,0.91205066,1.6,0.6694800000000214
82820,350.32736,290.87357,0.8623799,1.6333333333333333,1.496903107251771
82821,353.43604,290.87357,0.82713306,1.6666666666666667,3.1086799999999926
82822,355.95084,290.87357,0.8367431,1.7,2.5148000000000366
82823,355.95084,291.31638,0.83034664,1.7333333333333334,0.4428100000000086
82824,355.95084,291.9207,0.8464548,1.7666666666666666,0.6043200000000297
82825,354.42438,292.20914,0.8306077,1.8,1.5534728080015174
82826,351.10095,292.20914,0.8610582,1.8333333333333333,3.3234299999999735
82827,351.10095,292.20914,0.9192331,1.8666666666666667,0.0
82828,351.10095,291.13696,0.8717769,1.9,1.072180000000003
82829,351.10974,291.13696,0.8698822,1.9333333333333333,0.008789999999976317
82830,352.46417,291.13696,0.8041717,1.9666666666666666,1.3544300000000362
82831,352.46417,291.36008,0.832806,2.0,0.22311999999999443
82832,352.46417,291.38492,0.8336716,2.033333333333333,0.024840000000040163
82833,352.4179,291.38492,0.8195527,2.066666666666667,0.04627000000004955
82834,352.37045,291.74692,0.8624299,2.1,0.3650965659931256
82835,352.37045,291.38492,0.8482856,2.1333333333333333,0.36199999999996635
82836,352.37045,291.2266,0.8604489,2.1666666666666665,0.15832000000000335
82837,353.11514,290.96176,0.8745343,2.2,0.7903818201983034
82838,353.20782,290.4554,0.86293,2.2333333333333334,0.5147718251808612
82839,353.3223,290.4132,0.8612026,2.2666666666666666,0.1220102880907533
82840,353.80527,289.74753,0.86170244,2.3,0.8224211632734579
82841,354.31488,289.74753,0.8568802,2.3333333333333335,0.5096100000000092
82842,354.71155,289.74753,0.88610893,2.3666666666666667,0.3966699999999719
82843,356.42297,290.04837,0.8561703,2.4,1.7376602435459318
82844,358.25732,290.15656,0.88174504,2.433333333333333,1.8375377543332017
82845,358.93982,290.15656,0.85838854,2.466666666666667,0.6825000000000045
82846,359.90118,290.11536,0.8687462,2.5,0.9622424276657239
82847,361.66702,290.11536,0.82065004,2.533333333333333,1.7658399999999688
82848,361.81125,289.80017,0.94250405,2.566666666666667,0.3466223146308049
82849,362.12305,287.16058,0.89482313,2.6,2.657941799231126
82850,362.12305,287.1484,0.9002771,2.6333333333333333,0.012180000000000746
82851,364.2732541666666,286.87370999999996,0.7573402,2.6666666666666665,2.1676790709075435
82852,366.7352583333333,286.58684,0.5193283,2.7,2.478660709654345
82853,369.19726249999997,286.29997,0.13696946,2.7333333333333334,2.4786607096542954
82854,371.65926666666667,286.0131,0.26815668,2.7666666666666666,2.478660709654345
82855,374.1212708333333,285.72623,0.039888974,2.8,2.4786607096542954
82856,376.58327499999996,285.43935999999997,0.061920155,2.8333333333333335,2.4786607096542954
82857,379.04527916666666,285.15249,0.1505362,2.8666666666666667,2.478660709654345
82858,381.5072833333333,284.86562,0.03566991,2.9,2.4786607096542954
82859,383.9692875,284.57875,0.023929926,2.933333333333333,2.478660709654345
82860,386.43129166666665,284.29188,0.29549903,2.966666666666667,2.4786607096542954
82861,388.89329583333335,284.29188,0.7461718,3.0,2.462004166666702
82862,391.3553,284.29188,0.9647899,3.033333333333333,2.4620041666666452
82863,393.65274,284.59937,0.8142716,3.066666666666667,2.317925937923814
82864,393.8634,285.1816,0.9336973,3.1,0.6191683200067539
82865,394.47437,285.28064,0.9354084,3.1333333333333333,0.6189452823150132
82866,394.47437,285.59976,0.9194632,3.1666666666666665,0.31911999999999807
82867,394.47437,285.59976,0.8999082,3.2,0.0
82868,394.47437,285.59976,0.91091996,3.2333333333333334,0.0
82869,393.74524,285.533,0.9408688,3.2666666666666666,0.7321799331448487
82870,393.74524,285.533,0.94681954,3.3,0.0
82871,393.74524,285.533,0.94670016,3.3333333333333335,0.0
82872,399.59988,286.90335,0.8363522,3.3666666666666667,6.012875240024481
82873,408.7785533333333,292.7221333333333,0.7882676,3.4,10.867671491185321
82874,417.95722666666666,298.54091666666665,0.71382415,3.433333333333333,10.867671491185321
