frame,x,y,likelihood,time_seconds,speed_px_per_frame
44300,351.75696,370.23486,0.66306704,0.0,0.0
44301,351.75696,370.23486,0.57287955,0.03333333333333333,0.0
44302,351.75696,370.23486,0.6330057,0.06666666666666667,0.0
44303,351.75696,370.23486,0.85933375,0.1,0.0
44304,351.75696,362.86362,0.80508524,0.13333333333333333,7.37124
44305,351.75696,356.31082,0.8764056,0.16666666666666666,6.5528000000000475
44306,352.4984,348.89252,0.8132277,0.2,7.455260435665533
44307,353.20579,328.43683,0.74583966,0.23333333333333334,20.467917675919065
44308,353.51955,312.82278,0.8666121,0.26666666666666666,15.617202141872239
44309,353.51955,312.82278,0.8680142,0.3,0.0
44310,353.51955,311.53482,0.5286108,0.3333333333333333,1.2879599999999982
44311,353.1105,311.53482,0.8101258,0.36666666666666664,0.40904999999997926
44312,352.3885,311.53482,0.8930508,0.4,0.72199999999998
44313,351.23056,308.69516,0.9158163,0.43333333333333335,3.066674739714045
44314,351.04852,306.43063,0.8945523,0.4666666666666667,2.271835091396362
44315,351.04852,305.06668,0.90825576,0.5,1.3639499999999884
44316,351.04852,304.4449,0.9264651,0.5333333333333333,0.6217800000000011
44317,352.51456,298.17188,0.8900759,0.5666666666666667,6.4420534926373
44318,354.161165,291.95002999999997,0.6793109,0.6,6.436048900414376
44319,355.80658,285.72818,1.0,0.6333333333333333,6.435744552476004
44320,355.80777,285.70895,1.0,0.6666666666666666,0.01926678489005776
44321,355.80777,285.10458,1.0,0.7,0.6043700000000172
44322,355.80658,284.8362,1.0,0.7333333333333333,0.2683826382238405
44323,355.86926,284.8362,1.0,0.7666666666666667,0.06268000000000029
44324,355.45612,284.7603,1.0,0.8,0.4200541269884226
44325,355.20566,284.7603,0.96041256,0.8333333333333334,0.2504599999999755
44326,354.6389,281.0598,0.9513307,0.8666666666666667,3.743650243759409
44327,352.25183,281.0598,0.89724255,0.9,2.3870699999999943
44328,352.16858,281.04666,0.9285766,0.9333333333333333,0.0842806152089232
44329,351.9571,281.04666,0.9306283,0.9666666666666667,0.21147999999999456
44330,351.9571,281.42532,0.91381824,1.0,0.37866000000002487
44331,352.16858,281.5346,0.9206351,1.0333333333333334,0.23804602244104064
44332,352.5077028571429,283.79602,0.9203204,1.0666666666666667,2.2867060870686187
44333,352.5077028571429,296.8342242857143,0.70056367,1.1,13.0382042857143
44334,352.5077028571429,309.87242857142854,0.6146008,1.1333333333333333,13.038204285714244
44335,352.2952742857143,322.91063285714284,0.78061414,1.1666666666666667,13.039934696691466
44336,352.0828457142857,335.94883714285714,0.70333743,1.2,13.039934696691466
44337,351.87041714285715,348.9870414285714,0.6363265,1.2333333333333334,13.03993469669141
44338,351.87041714285715,362.0252457142857,0.65233916,1.2666666666666666,13.0382042857143
44339,351.87041714285715,375.06345,0.80784285,1.3,13.0382042857143
44340,352.31042,376.09436,0.89429706,1.3333333333333333,1.120882662188109
44341,352.6886,376.09436,0.8917646,1.3666666666666667,0.3781799999999862
44342,352.6886,376.09436,0.88419545,1.4,0.0
44343,352.6886,374.45135,0.90729254,1.4333333333333333,1.6430100000000039
44344,352.56036,373.24734,0.9134499,1.4666666666666666,1.2108202086602118
44345,352.43973,372.88934,0.9293462,1.5,0.3777771789031258
44346,352.35916,372.7212,0.93034875,1.5333333333333334,0.18644727002560713
44347,352.35916,372.7212,0.9314822,1.5666666666666667,0.0
44348,352.29056,372.7212,0.9429704,1.6,0.0685999999999467
44349,351.72845,372.8479,0.9358245,1.6333333333333333,0.576212237027307
44350,351.72845,372.97137,0.9250627,1.6666666666666667,0.12346999999999753
44351,352.29056,372.9827,0.92433786,1.7,0.5622241732618952
44352,352.29056,374.95285,0.89379454,1.7333333333333334,1.9701499999999896
44353,352.20726,384.79913750000003,0.58946973,1.7666666666666666,9.846639854420216
44354,352.20726,394.64542500000005,0.49128494,1.8,9.846287500000017
44355,351.84594,404.4917125,0.7993195,1.8333333333333333,9.85291478066544
44356,351.48462,414.338,0.92496014,1.8666666666666667,9.852914780665493
44357,351.08493,418.58005,0.88458127,1.9,4.260837980796744
44358,350.81067,420.44168,0.90843666,1.9333333333333333,1.881723891674852
44359,350.30475,420.44168,0.90619737,1.9666666666666666,0.5059200000000033
44360,350.25055,420.44168,0.90180016,2.0,0.05420000000003711
44361,350.25055,420.44168,0.9030256,2.033333333333333,0.0
44362,350.14865,420.44168,0.9027278,2.066666666666667,0.10190000000000055
44363,350.1006,421.58463,0.8910664,2.1,1.1439595731493155
44364,349.55557,423.42337,0.800051,2.1333333333333333,1.9178171154987373
44365,349.55557,423.42337,0.01026589,2.1666666666666665,0.0
44366,349.55557,423.42337,0.01132,2.2,0.0
44367,349.55557,423.42337,0.012255939,2.2333333333333334,0.0
44368,349.55557,423.42337,0.011502177,2.2666666666666666,0.0
