frame,x,y,likelihood,time_seconds,speed_px_per_frame
46377,351.65665,360.28375,0.70783895,0.0,0.0
46378,351.65665,360.28375,0.61339587,0.03333333333333333,0.0
46379,351.65665,360.28375,0.74464333,0.06666666666666667,0.0
46380,351.65665,360.28375,0.7761439,0.1,0.0
46381,351.65665,360.28375,0.8269954,0.13333333333333333,0.0
46382,351.18094,353.02066,0.83989036,0.16666666666666666,7.278652097208634
46383,350.13742,347.034545,0.7603706,0.2,6.076389288354186
46384,350.13742,341.04843,0.8166357,0.23333333333333334,5.986114999999984
46385,350.13742,336.42578,0.8482512,0.26666666666666666,4.6226500000000215
46386,350.50444,333.51709,0.7795054,0.3,2.9317539454224075
46387,350.96362,330.6084,0.80236036,0.3333333333333333,2.9447111553597036
46388,351.0389,326.2037,0.8338333,0.36666666666666664,4.405343252051981
46389,351.18814,322.6285,0.9057996,0.4,3.578313515834011
46390,351.7068,318.59433,0.8241201,0.43333333333333335,4.067374556701127
46391,351.93281,314.75551333333334,0.7936445,0.4666666666666667,3.8454640708733505
46392,351.93281,310.91669666666667,0.73244715,0.5,3.8388166666666734
46393,351.93281,307.07788,0.88547796,0.5333333333333333,3.8388166666666734
46394,351.55804,305.40097,0.9071364,0.5666666666666667,1.7182781209688025
46395,351.55804,305.08392,0.88091165,0.6,0.3170499999999947
46396,351.55804,305.08392,0.8682487,0.6333333333333333,0.0
46397,351.9252,305.08392,0.84250116,0.6666666666666666,0.3671600000000126
46398,351.94366,305.1777,0.8360628,0.7,0.09557960033400059
46399,351.94366,305.20303,0.83698636,0.7333333333333333,0.025329999999996744
46400,351.94366,305.27905,0.8210803,0.7666666666666667,0.07601999999997133
46401,351.8947,305.32437,0.8356496,0.8,0.06671569530479714
46402,351.773325,305.548985,0.7893582,0.8333333333333334,0.2553111608410664
46403,351.65195,305.548985,0.85908395,0.8666666666666667,0.12137500000000045
46404,351.4008,305.56494,0.8836193,0.9,0.2516562825065104
46405,351.4008,305.56494,0.82523495,0.9333333333333333,0.0
46406,351.4008,305.55908,0.90239143,0.9666666666666667,0.005859999999984211
46407,351.44705,305.3292,0.89301693,1.0,0.23448641090687877
46408,351.44705,305.3292,0.8838026,1.0333333333333334,0.0
46409,351.44705,304.53397,0.8364031,1.0666666666666667,0.7952300000000037
46410,350.81854666666663,303.3244466666667,0.7856462,1.1,1.363071213799518
46411,350.15915333333334,302.1149233333333,0.79398906,1.1333333333333333,1.3775871159103832
46412,349.49976,301.66226,0.8237071,1.1666666666666667,0.7998147669234998
46413,349.42201666666665,301.66226,0.83240706,1.2,0.07774333333333061
46414,349.42201666666665,301.66226,0.8273221,1.2333333333333334,0.0
46415,349.42201666666665,301.7755633333333,0.78508747,1.2666666666666666,0.113303333333306
46416,349.66007333333334,301.8888666666667,0.7991507,1.3,0.26364487836654144
46417,349.66007333333334,302.00217,0.8197595,1.3333333333333333,0.113303333333306
46418,349.66007333333334,302.07343,0.8284091,1.3666666666666667,0.07125999999999522
46419,348.63046,302.98196,0.9011234,1.4,1.3731461601292914
46420,348.63046,303.14084,0.9150184,1.4333333333333333,0.15888000000001057
46421,348.63046,303.14084,0.8884088,1.4666666666666666,0.0
46422,349.87524,303.14084,0.8824888,1.5,1.2447799999999916
46423,350.34725333333336,301.10724,0.8718236,1.5333333333333334,2.087660304466364
46424,350.34725333333336,296.7490266666667,0.7152592,1.5666666666666667,4.35821333333331
46425,350.34725333333336,292.3908133333333,0.7599113,1.6,4.358213333333367
46426,349.99963,288.0326,0.90855783,1.6333333333333333,4.372055059205227
46427,347.9845,286.48065,0.97769725,1.6666666666666667,2.5434814171524676
46428,346.78772,285.5343,0.99960923,1.7,1.5257328373277579
46429,346.27063,285.05093,1.0,1.7333333333333334,0.7078337551996062
46430,345.12866,284.40024,0.9611163,1.7666666666666666,1.3143412635232528
46431,342.09702,283.68414,0.9464389,1.8,3.115066660538777
46432,340.0494,283.49487,0.8842634,1.8333333333333333,2.056348899700629
46433,340.0494,283.49487,0.8151798,1.8666666666666667,0.0
46434,340.0494,283.51505,0.9059625,1.9,0.0201799999999821
46435,344.32834,283.1974,0.90467274,1.9333333333333333,4.290714281573671
46436,352.52237,282.91208,0.88146645,1.9666666666666666,8.198995983856802
46437,357.53593,283.51505,0.884703,2.0,5.049688772043264
46438,357.53593,283.51505,0.67838794,2.033333333333333,0.0
46439,357.53593,284.22896000000003,0.63555855,2.066666666666667,0.7139100000000553
46440,356.89072,286.31484,0.59238243,2.1,2.1833898686446083
46441,356.24551,288.40072000000004,0.5917925,2.1333333333333333,2.183389868644646
46442,355.6003,290.4866,0.95731497,2.1666666666666665,2.1833898686446083
46443,355.19398181818184,301.5791072727273,0.63361156,2.2,11.099946489077496
46444,354.7876636363636,312.67161454545453,0.74050087,2.2333333333333334,11.09994648907744
46445,354.38134545454545,323.7641218181818,0.42803496,2.2666666666666666,11.099946489077496
46446,353.9750272727273,334.8566290909091,0.48846596,2.3,11.099946489077496
46447,353.5687090909091,345.9491363636364,0.5562536,2.3333333333333335,11.099946489077496
46448,353.1623909090909,357.04164363636363,0.7728686,2.3666666666666667,11.09994648907744
46449,352.75607272727274,368.1341509090909,0.5581544,2.4,11.099946489077496
46450,352.3497545454546,379.2266581818182,0.7029958,2.433333333333333,11.099946489077496
46451,351.9434363636364,390.31916545454544,0.79404694,2.466666666666667,11.099946489077439
46452,351.5371181818182,401.41167272727273,0.79185104,2.5,11.099946489077498
46453,351.33484,412.50418,0.8781084,2.533333333333333,11.094351448297799
46454,351.1308,414.07092,0.92922854,2.566666666666667,1.5799704266852361
46455,351.029,415.32184,0.9072801,2.6,1.2550554116850876
46456,351.00476,415.42236,0.90115094,2.6333333333333333,0.10340139264054644
46457,351.00476,415.77692,0.88223815,2.6666666666666665,0.3545599999999922
46458,351.00476,417.07898,0.8567799,2.7,1.3020599999999831
46459,351.00476,417.07898,0.7516467,2.7333333333333334,0.0
46460,351.00476,417.07898,0.010605896,2.7666666666666666,0.0
46461,351.00476,417.07898,0.011497017,2.8,0.0
46462,351.00476,417.07898,0.011392317,2.8333333333333335,0.0
46463,351.00476,417.07898,0.009987419,2.8666666666666667,0.0
46464,351.00476,417.07898,0.013158694,2.9,0.0
