motor1 angle
90
180
180
90
90
180
180
90
90
180
180
90
90
180
180
90
90
180
180
90
90
180
180
90
90
180
180
90
90
180
180
90
90
180
180
90
90
180
180
90
90
180
180
90
90
180
180
90
90
180
180
90
90
180
180
90
90
180
180
90
90
180
180
90
90
180
180
90
90
180
180
90
90
180
180
90
90
180
180
90
90
180
180
90
90
180
180
90
90
180
180
90
90
180
180
90
90
180
180
90
